player,season,playoffs,Game_Type_Regular_Tot,Game_Type_Playoffs_Tot,Shot_Made,Total_Game_Played,Total_FT_Made,Total_FTA,FT_Pct,Game_Type
Chris Andersen,2013 - 2014,regular,169,0,120,48,120,169,0.71,regular
Chris Andersen,2014 - 2015,regular,114,0,76,37,76,114,0.667,regular
Chris Andersen,2015 - 2016,regular,36,0,25,11,25,36,0.694,regular
Chris Bosh,2006 - 2007,regular,580,0,453,67,453,580,0.781,regular
Chris Bosh,2007 - 2008,regular,561,0,472,65,472,561,0.841,regular
Chris Bosh,2008 - 2009,regular,617,0,504,77,504,617,0.817,regular
Chris Bosh,2009 - 2010,regular,597,0,475,68,475,597,0.796,regular
Chris Bosh,2010 - 2011,playoffs,0,140,114,21,114,140,0.814,playoffs
Chris Bosh,2010 - 2011,regular,472,0,384,74,384,472,0.814,regular
Chris Bosh,2011 - 2012,playoffs,0,52,43,13,43,52,0.827,playoffs
Chris Bosh,2011 - 2012,regular,279,0,229,53,229,279,0.821,regular
Chris Bosh,2012 - 2013,playoffs,0,60,44,19,44,60,0.733,playoffs
Chris Bosh,2012 - 2013,regular,300,0,239,66,239,300,0.797,regular
Chris Bosh,2013 - 2014,playoffs,0,46,36,12,36,46,0.783,playoffs
Chris Bosh,2013 - 2014,regular,272,0,223,62,223,272,0.82,regular
Chris Bosh,2014 - 2015,regular,232,0,179,42,179,232,0.772,regular
Chris Bosh,2015 - 2016,regular,268,0,213,48,213,268,0.795,regular
Chris Copeland,2012 - 2013,regular,84,0,63,28,63,84,0.75,regular
Chris Copeland,2014 - 2015,regular,45,0,33,16,33,45,0.733,regular
Chris Douglas-Roberts,2008 - 2009,regular,62,0,51,20,51,62,0.823,regular
Chris Douglas-Roberts,2009 - 2010,regular,157,0,133,46,133,157,0.847,regular
Chris Douglas-Roberts,2010 - 2011,regular,89,0,74,26,74,89,0.831,regular
Chris Douglas-Roberts,2013 - 2014,regular,82,0,66,27,66,82,0.805,regular
Chris Duhon,2006 - 2007,regular,101,0,76,36,76,101,0.752,regular
Chris Duhon,2007 - 2008,regular,80,0,65,30,65,80,0.812,regular
Chris Duhon,2008 - 2009,regular,209,0,179,62,179,209,0.856,regular
Chris Duhon,2009 - 2010,regular,95,0,68,34,68,95,0.716,regular
